Variable,Subject,Grade,Year,Jurisdiction,Grouping,Mean,SD,N,Cohen's d
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,US,Unknown  Race/Ethnicity,3.78,0.27,1692.0,-0.11744404390294166
Race/Ethnicity,AAMC - GPA Total,NA,2023,US,American Indian/Alaska Native,3.42,0.43,90.0,-0.7716983996699568
Race/Ethnicity,AAMC - GPA Total,NA,2023,US,Asian,3.7,0.31,12600.0,0.0
Race/Ethnicity,AAMC - GPA Total,NA,2023,US,Black,3.39,0.4,4672.0,-0.897890891863413
Race/Ethnicity,AAMC - GPA Total,NA,2023,US,Hispanic,3.5,0.37,3177.0,-0.6095691487793008
Race/Ethnicity,AAMC - GPA Total,NA,2023,US,Native Hawaiian/Other Pacific Islander,3.46,0.39,57.0,-0.7069533791278634
Race/Ethnicity,AAMC - GPA Total,NA,2023,US,White,3.7,0.28,21131.0,0.0
Race/Ethnicity,AAMC - GPA Total,NA,2023,US,Another Race/Ethnicity,3.63,0.33,1263.0,-0.22874107044676115
Race/Ethnicity,AAMC - GPA Total,NA,2023,US,Multiple Races/Ethnicities,3.6,0.35,6009.0,-0.3155186459281332
Race/Ethnicity,AAMC - GPA Total,NA,2023,US,Unknown  Race/Ethnicity,3.66,0.31,1692.0,-0.13541827381310662
Race/Ethnicity,MCAT CPBS,NA,2023,Matriculants,American Indian/Alaska Native,124.9,2.4,36.0,-1.3747262174913255
Race/Ethnicity,MCAT CPBS,NA,2023,Matriculants,Asian,129.0,2.0,5901.0,0.4876598490941707
Race/Ethnicity,MCAT CPBS,NA,2023,Matriculants,Black,126.0,2.2,1845.0,-0.9299811099505543
Race/Ethnicity,MCAT CPBS,NA,2023,Matriculants,Hispanic,126.0,2.3,1493.0,-0.9081532183729996
Race/Ethnicity,MCAT CPBS,NA,2023,Matriculants,Native Hawaiian/Other Pacific Islander,126.8,2.5,19.0,-0.5197776981890532
Race/Ethnicity,MCAT CPBS,NA,2023,Matriculants,White,128.0,2.1,9534.0,0.0
Race/Ethnicity,MCAT CPBS,NA,2023,Matriculants,Another Race/Ethnicity,128.1,2.1,483.0,0.04761904761904491
Race/Ethnicity,MCAT CPBS,NA,2023,Matriculants,Multiple Races/Ethnicities,127.0,2.3,2726.0,-0.4540766091864998
Race/Ethnicity,MCAT CPBS,NA,2023,Matriculants,Unknown  Race/Ethnicity,128.3,2.1,657.0,0.14285714285714826
Race/Ethnicity,MCAT CARS,NA,2023,Matriculants,American Indian/Alaska Native,125.0,2.7,36.0,-0.9745314049285893
Race/Ethnicity,MCAT CARS,NA,2023,Matriculants,Asian,127.3,2.2,5901.0,-0.04545454545454933
Race/Ethnicity,MCAT CARS,NA,2023,Matriculants,Black,125.5,2.3,1845.0,-0.8442360168355842
Race/Ethnicity,MCAT CARS,NA,2023,Matriculants,Hispanic,125.4,2.5,1493.0,-0.8493353896711716
Race/Ethnicity,MCAT CARS,NA,2023,Matriculants,Native Hawaiian/Other Pacific Islander,125.8,2.0,19.0,-0.7610423906471946
Race/Ethnicity,MCAT CARS,NA,2023,Matriculants,White,127.4,2.2,9534.0,0.0
Race/Ethnicity,MCAT CARS,NA,2023,Matriculants,Another Race/Ethnicity,126.5,2.3,483.0,-0.3999012711326465
Race/Ethnicity,MCAT CARS,NA,2023,Matriculants,Multiple Races/Ethnicities,126.8,2.4,2726.0,-0.2606233456578453
Race/Ethnicity,MCAT CARS,NA,2023,Matriculants,Unknown  Race/Ethnicity,127.7,2.1,657.0,0.13949716649258181
Race/Ethnicity,MCAT BBLS,NA,2023,Matriculants,American Indian/Alaska Native,125.5,1.9,36.0,-1.3841604427977374
Race/Ethnicity,MCAT BBLS,NA,2023,Matriculants,Asian,128.8,1.9,5901.0,0.3075912095106213
Race/Ethnicity,MCAT BBLS,NA,2023,Matriculants,Black,126.5,2.1,1845.0,-0.8290217434600847
Race/Ethnicity,MCAT BBLS,NA,2023,Matriculants,Hispanic,126.9,2.3,1493.0,-0.6031849446916605
Race/Ethnicity,MCAT BBLS,NA,2023,Matriculants,Native Hawaiian/Other Pacific Islander,126.9,2.2,19.0,-0.6183469424008342
Race/Ethnicity,MCAT BBLS,NA,2023,Matriculants,White,128.2,2.0,9534.0,0.0
Race/Ethnicity,MCAT BBLS,NA,2023,Matriculants,Another Race/Ethnicity,128.3,1.9,483.0,0.05126520158511326
Race/Ethnicity,MCAT BBLS,NA,2023,Matriculants,Multiple Races/Ethnicities,127.8,2.2,2726.0,-0.1902605976617936
Race/Ethnicity,MCAT BBLS,NA,2023,Matriculants,Unknown  Race/Ethnicity,128.5,2.0,657.0,0.15000000000000568
Race/Ethnicity,MCAT PSBB,NA,2023,Matriculants,American Indian/Alaska Native,126.7,1.8,36.0,-1.2427894220040867
Race/Ethnicity,MCAT PSBB,NA,2023,Matriculants,Asian,129.5,1.8,5901.0,0.2701716134791496
Race/Ethnicity,MCAT PSBB,NA,2023,Matriculants,Black,127.6,2.1,1845.0,-0.6991266372144941
Race/Ethnicity,MCAT PSBB,NA,2023,Matriculants,Hispanic,127.6,2.4,1493.0,-0.6468048057775632
Race/Ethnicity,MCAT PSBB,NA,2023,Matriculants,Native Hawaiian/Other Pacific Islander,127.7,1.7,19.0,-0.7211102550927964
Race/Ethnicity,MCAT PSBB,NA,2023,Matriculants,White,129.0,1.9,9534.0,0.0
Race/Ethnicity,MCAT PSBB,NA,2023,Matriculants,Another Race/Ethnicity,129.0,1.9,483.0,0.0
Race/Ethnicity,MCAT PSBB,NA,2023,Matriculants,Multiple Races/Ethnicities,128.6,2.1,2726.0,-0.19975046777557176
Race/Ethnicity,MCAT PSBB,NA,2023,Matriculants,Unknown  Race/Ethnicity,129.1,1.9,657.0,0.052631578947365434
Race/Ethnicity,MCAT Total,NA,2023,Matriculants,American Indian/Alaska Native,502.2,6.8,36.0,-1.5675620646856276
Race/Ethnicity,MCAT Total,NA,2023,Matriculants,Asian,514.3,6.0,5901.0,0.31143356454671656
Race/Ethnicity,MCAT Total,NA,2023,Matriculants,Black,505.7,6.6,1845.0,-1.046364204653659
Race/Ethnicity,MCAT Total,NA,2023,Matriculants,Hispanic,506.4,7.6,1493.0,-0.8651247010927086
Race/Ethnicity,MCAT Total,NA,2023,Matriculants,Native Hawaiian/Other Pacific Islander,507.3,7.1,19.0,-0.7651673986796897
Race/Ethnicity,MCAT Total,NA,2023,Matriculants,White,512.4,6.2,9534.0,0.0
Race/Ethnicity,MCAT Total,NA,2023,Matriculants,Another Race/Ethnicity,511.9,6.0,483.0,-0.08195620119650533
Race/Ethnicity,MCAT Total,NA,2023,Matriculants,Multiple Races/Ethnicities,510.6,6.9,2726.0,-0.27441766561295033
Race/Ethnicity,MCAT Total,NA,2023,Matriculants,Unknown  Race/Ethnicity,513.6,5.9,657.0,0.19828617234529414
Race/Ethnicity,AAMC - GPA Science,NA,2023,Matriculants,American Indian/Alaska Native,3.47,0.46,36.0,-0.7494028186010644
Race/Ethnicity,AAMC - GPA Science,NA,2023,Matriculants,Asian,3.78,0.25,5901.0,0.1176244496066727
Race/Ethnicity,AAMC - GPA Science,NA,2023,Matriculants,Black,3.46,0.4,1845.0,-0.8596602917566908
Race/Ethnicity,AAMC - GPA Science,NA,2023,Matriculants,Hispanic,3.57,0.34,1493.0,-0.5947367404095812
Race/Ethnicity,AAMC - GPA Science,NA,2023,Matriculants,Native Hawaiian/Other Pacific Islander,3.56,0.4,19.0,-0.5632257083923145
Race/Ethnicity,AAMC - GPA Science,NA,2023,Matriculants,White,3.75,0.26,9534.0,0.0
Race/Ethnicity,AAMC - GPA Science,NA,2023,Matriculants,Another Race/Ethnicity,3.74,0.26,483.0,-0.03846153846153764
Race/Ethnicity,AAMC - GPA Science,NA,2023,Matriculants,Multiple Races/Ethnicities,3.65,0.32,2726.0,-0.34299717028501797
Race/Ethnicity,AAMC - GPA Science,NA,2023,Matriculants,Unknown  Race/Ethnicity,3.74,0.26,657.0,-0.03846153846153764
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,Matriculants,American Indian/Alaska Native,3.79,0.21,36.0,-0.4090479940519313
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,Matriculants,Asian,3.89,0.16,5901.0,0.11744404390294082
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,Matriculants,Black,3.74,0.26,1845.0,-0.5813776741499449
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,Matriculants,Hispanic,3.79,0.24,1493.0,-0.3771236166328257
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,Matriculants,Native Hawaiian/Other Pacific Islander,3.79,0.22,19.0,-0.398014876083996
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,Matriculants,White,3.87,0.18,9534.0,0.0
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,Matriculants,Another Race/Ethnicity,3.88,0.15,483.0,0.0603571640283444
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,Matriculants,Multiple Races/Ethnicities,3.83,0.22,2726.0,-0.199007438041998
Race/Ethnicity,AAMC - GPA Non-Science,NA,2023,Matriculants,Unknown  Race/Ethnicity,3.86,0.19,657.0,-0.054034322695831166
Race/Ethnicity,AAMC - GPA Total,NA,2023,Matriculants,American Indian/Alaska Native,3.64,0.28,36.0,-0.6575959492214278
Race/Ethnicity,AAMC - GPA Total,NA,2023,Matriculants,Asian,3.83,0.19,5901.0,0.1537956047553061
Race/Ethnicity,AAMC - GPA Total,NA,2023,Matriculants,Black,3.59,0.31,1845.0,-0.8050173304207412
Race/Ethnicity,AAMC - GPA Total,NA,2023,Matriculants,Hispanic,3.66,0.27,1493.0,-0.589245212355124
Race/Ethnicity,AAMC - GPA Total,NA,2023,Matriculants,Native Hawaiian/Other Pacific Islander,3.65,0.29,19.0,-0.6021717344277748
Race/Ethnicity,AAMC - GPA Total,NA,2023,Matriculants,White,3.8,0.2,9534.0,0.0
Race/Ethnicity,AAMC - GPA Total,NA,2023,Matriculants,Another Race/Ethnicity,3.8,0.2,483.0,0.0
Race/Ethnicity,AAMC - GPA Total,NA,2023,Matriculants,Multiple Races/Ethnicities,3.73,0.26,2726.0,-0.3017914294914581
Race/Ethnicity,AAMC - GPA Total,NA,2023,Matriculants,Unknown  Race/Ethnicity,3.8,0.21,657.0,0.0
Gender,MCAT CPBS,NA,2023,US,Male,127.2,2.8,22574.0,0.4911524908119384
Gender,MCAT CARS,NA,2023,US,Male,126.0,2.7,22574.0,0.10907288200508873
Gender,MCAT BBLS,NA,2023,US,Male,127.3,2.7,22574.0,0.4282983661489508
Gender,MCAT PSBB,NA,2023,US,Male,127.7,2.7,22574.0,0.17519611040921224
Gender,MCAT Total,NA,2023,US,Male,508.3,9.3,22574.0,0.3585926291764512
Gender,AAMC - GPA Science,NA,2023,US,Male,3.58,0.4,22574.0,0.16856462574650438
Gender,AAMC - GPA Non-Science,NA,2023,US,Male,3.75,0.29,22574.0,-0.14523864842631956
Gender,AAMC - GPA Total,NA,2023,US,Male,3.65,0.33,22574.0,0.030303030303029655
Gender,MCAT CPBS,NA,2023,US,Female,125.8,2.9,29763.0,0.0
Gender,MCAT CARS,NA,2023,US,Female,125.7,2.8,29763.0,0.0
Gender,MCAT BBLS,NA,2023,US,Female,126.1,2.9,29763.0,0.0
Gender,MCAT PSBB,NA,2023,US,Female,127.2,3.0,29763.0,0.0
Gender,MCAT Total,NA,2023,US,Female,504.8,10.2,29763.0,0.0
Gender,AAMC - GPA Science,NA,2023,US,Female,3.51,0.43,29763.0,0.0
Gender,AAMC - GPA Non-Science,NA,2023,US,Female,3.79,0.26,29763.0,0.0
Gender,AAMC - GPA Total,NA,2023,US,Female,3.64,0.33,29763.0,0.0
Gender,MCAT CPBS,NA,2023,Matriculants,Male,128.4,2.2,10160.0,0.45454545454545453
Gender,MCAT CARS,NA,2023,Matriculants,Male,127.0,2.4,10160.0,0.0
Gender,MCAT BBLS,NA,2023,Matriculants,Male,128.5,2.1,10160.0,0.3809523809523796
Gender,MCAT PSBB,NA,2023,Matriculants,Male,128.9,2.0,10160.0,0.0487659849094143
Gender,MCAT Total,NA,2023,Matriculants,Male,512.7,6.8,10160.0,0.2647058823529512
Gender,AAMC - GPA Science,NA,2023,Matriculants,Male,3.72,0.29,10160.0,0.06778687417315081
Gender,AAMC - GPA Non-Science,NA,2023,Matriculants,Male,3.83,0.22,10160.0,-0.2034629055765849
Gender,AAMC - GPA Total,NA,2023,Matriculants,Male,3.77,0.24,10160.0,-0.04254356298115079
Gender,MCAT CPBS,NA,2023,Matriculants,Female,127.4,2.2,12724.0,0.0
Gender,MCAT CARS,NA,2023,Matriculants,Female,127.0,2.4,12724.0,0.0
Gender,MCAT BBLS,NA,2023,Matriculants,Female,127.7,2.1,12724.0,0.0
Gender,MCAT PSBB,NA,2023,Matriculants,Female,128.8,2.1,12724.0,0.0
Gender,MCAT Total,NA,2023,Matriculants,Female,510.9,6.8,12724.0,0.0
Gender,AAMC - GPA Science,NA,2023,Matriculants,Female,3.7,0.3,12724.0,0.0
Gender,AAMC - GPA Non-Science,NA,2023,Matriculants,Female,3.87,0.17,12724.0,0.0
Gender,AAMC - GPA Total,NA,2023,Matriculants,Female,3.78,0.23,12724.0,0.0
